DENOM_CIA,cnpj,SETOR_ATIV,DT_REFER,total_assets,equity,net_revenue,net_income,ebit,current_ratio,debt_to_equity,gross_margin,net_margin,roe,roa,altman_zscore,altman_zone,default_flag
ALUBAR METAIS E CABOS S.A.,08262121000113,Metalurgia e Siderurgia,2024-12-31,1759137000.0,198766000.0,3885196000.0,88685000.0,326615000.0,1.1753042964100984,6.068351730175181,0.1732612717608069,0.022826390225872774,0.4461779177525331,0.05041392455505171,1.8988642320052345,GREY,0
JHSF PARTICIPACOES S.A.,08294224000165,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",2024-12-31,13293747000.0,5836514000.0,1607933000.0,861545000.0,1223763000.0,1.7530587596779759,0.7693157251057737,0.5711320061221457,0.5358090169179934,0.14761294156066446,0.06480828919039906,2.431572176824889,GREY,0
EZ TEC EMPREEND. E PARTICIPACOES S.A.,08312229000173,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",2024-12-31,6466534000.0,4883126000.0,1560541000.0,428718000.0,334391000.0,6.841664530909205,0.2327160921098493,0.34142774845390156,0.2747239579094686,0.08779580948761101,0.06629795807151095,5.891358354695041,SAFE,0
MRV ENGENHARIA E PARTICIPACOES S.A.,08343492000120,"Construção Civil, Mat. Constr. e Decoração",2024-12-31,29430687000.0,7470423000.0,9009035000.0,-482097000.0,433540000.0,1.6820652113836816,1.309245540714361,0.26372147516354416,-0.0535126126161126,-0.06453409666360259,-0.016380759307453474,1.8089416923014714,GREY,0
ALUPAR INVESTIMENTO S/A,08364948000138,Emp. Adm. Part. - Energia Elétrica,2024-12-31,30689036000.0,11723503000.0,4002104000.0,1859906000.0,2892636000.0,2.0445600819125413,1.0858210212425417,0.72640066325113,0.4647320509412049,0.15864763287901235,0.06060490137259444,2.334386703505534,GREY,0
GSH CORP PARTICIPAÇÕES S.A.,08397078000101,Serviços Médicos,2024-12-31,1175054000.0,215767000.0,674538000.0,12059000.0,95565000.0,3.628802992518703,3.6713213790802115,0.3960280962673711,0.017877421286865973,0.05588899136568613,0.010262507084780785,3.342412794366434,SAFE,0
GUARARAPES CONFECCOES S.A.,08402943000152,Têxtil e Vestuário,2024-12-31,13633267000.0,5403620000.0,9634207000.0,235138000.0,761835000.0,1.4781989506515334,0.3647547384901233,0.5897513931348994,0.024406575445181943,0.0435149029724518,0.017247369981091106,2.431836051149963,GREY,0
CPFL ENERGIAS RENOVÁVEIS S.A.,08439659000150,Emp. Adm. Part. - Energia Elétrica,2024-12-31,10763607000.0,5039832000.0,3631444000.0,1204299000.0,1761909000.0,0.7356385624960032,0.20242797775798876,0.6413977470119324,0.33163088842895555,0.23895617949169734,0.11188619205439218,1.7565811164820215,GREY,0
RENOVA ENERGIA S.A.,08534605000174,Energia Elétrica,2024-12-31,3061346000.0,815951000.0,259226000.0,-117069000.0,16816000.0,0.7949134408038782,1.4022778328600614,-0.11911613804170879,-0.4516097922276315,-0.14347552732945973,-0.03824102208636332,0.2591010186148801,DISTRESS,0
CIA CELG DE PARTICIPACOES - CELGPAR,08560444000193,Emp. Adm. Part. - Energia Elétrica,2024-12-31,844625000.0,783559000.0,31297000.0,37486000.0,15914000.0,25.293504722952576,0.01685897296821299,0.5360577691152507,1.197750583122983,0.04784068589602059,0.044381826254254846,15.537102313413763,SAFE,0
